0.016,2,4,387,1644,260,260,27,2,0,10,1760981379
0,1,2,261,1097,210,210,22,1,5,10,1760981379
0,3,6,402,1640,235,235,24.5,3,10,10,1760981379
0,1,2,230,938,192,190,20.2,2,15,10,1760981379
0,1,2,268,1075,221,219,23.1,1,20,10,1760981379
0,1,2,264,1083,233,231,24.3,1,25,10,1760981379
0,1,2,236,967,215,213,22.5,1,30,10,1760981379
0,1,2,253,1037,201,201,21.1,1,35,10,1760981379
0,3,7,632,2235,241,239,25.1,3,40,10,1760981379
0.001,6,12,1006,3567,271,264,28.1,5,45,10,1760981379
0,5,10,680,2565,236,230,24.6,5,50,10,1760981379
0,4,8,512,1905,187,182,19.7,3,55,10,1760981379
0,5,10,779,2683,216,212,22.6,5,60,10,1760981379
0,4,8,494,1939,190,188,20,4,65,10,1760981379
0,4,8,587,2119,233,229,24.3,4,70,10,1760981379
0,4,8,600,2108,245,237,25.5,4,75,10,1760981379
0,2,4,350,1300,207,201,21.7,2,80,10,1760981379
0,1,2,229,874,177,173,18.7,1,85,10,1760981379
0,2,4,277,1015,161,157,17.1,2,90,10,1760981379
0,3,6,631,1794,187,180,19.7,3,95,10,1760981379
0,3,6,418,1307,146,139,15.6,3,100,10,1760981379
0,2,5,416,1508,244,241,25.4,2,105,10,1760981379
0.013,5,10,628,2323,226,222,23.6,3,110,10,1760981379
0,1,3,246,1023,176,175,18.6,1,115,10,1760981379
0,2,4,346,1342,210,207,22,3,120,10,1760981379
0,3,7,478,1854,214,211,22.4,5,125,10,1760981379
0,1,2,241,1008,221,219,23.1,1,130,10,1760981379
0,0,1,181,756,171,171,18.1,0,135,10,1760981379
0,0,1,197,817,187,187,19.7,0,140,10,1760981379
0,1,3,407,1443,233,232,24.3,1,145,10,1760981379
0.016,2,4,469,1579,223,218,23.3,2,150,10,1760981379
0,2,4,345,1446,229,228,23.9,3,155,10,1760981379
0,1,2,251,1046,213,213,22.3,3,160,10,1760981379
0,1,2,196,806,163,163,17.3,3,165,10,1760981379
0,0,1,197,809,187,187,19.7,0,170,10,1760981379
0,0,1,247,1021,237,237,24.7,0,175,10,1760981379
0,0,1,220,905,210,210,22,0,180,10,1760981379
