345,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
350,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
355,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
360,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
365,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
370,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
375,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
380,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
385,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
390,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
395,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
400,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
405,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
410,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
415,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
420,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
425,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
430,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
435,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
440,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
445,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
450,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
455,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
460,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
465,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
470,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
475,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
480,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
485,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
490,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
495,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
500,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
505,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
510,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
515,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
520,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
525,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
530,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
535,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
540,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
545,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
550,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
555,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
560,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
565,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
570,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
575,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
580,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
585,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
590,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
595,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
600,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
605,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
610,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
615,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
620,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
625,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
630,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
635,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
640,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
645,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
650,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
655,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
660,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
665,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
670,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
675,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
680,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
685,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
690,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
695,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
700,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
705,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
710,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
715,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
720,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
725,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
730,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
735,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
740,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
745,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
750,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
755,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
760,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
765,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
770,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
775,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
780,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
785,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
790,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
795,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
800,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
805,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
810,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
815,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
820,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
825,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
830,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
835,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
840,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
845,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
850,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
855,10,10,0,0
t,stitched_agents,sipp_ok,fallbacks,skipped_clean
860,10,10,0,0
